ID,Latitude,Longitude,HillslopeSetting,ImagerySource
LS000214,34.481770,-119.624634,Unmodified,USGS
LS000215,34.481182,-119.627449,Unmodified,USGS
LS000216,34.481941,-119.624359,Unmodified,USGS
LS000217,34.496628,-119.631256,Unmodified,CAP
LS000218,34.496803,-119.633759,Unmodified,CAP
LS000219,34.496605,-119.633385,Unmodified,CAP
LS000220,34.497295,-119.634712,Modified,CAP
LS000221,34.497063,-119.634499,-9999,CAP
LS000222,34.497269,-119.635132,Unmodified,CAP
LS000223,34.498234,-119.638344,Unmodified,CAP
LS000224,34.495857,-119.629730,Unmodified,CAP
LS000225,34.495434,-119.629044,Unmodified,CAP
LS000226,34.495312,-119.628693,Unmodified,CAP
LS000227,34.495514,-119.627380,Unmodified,CAP
LS000228,34.495522,-119.627251,Unmodified,CAP
LS000229,34.480553,-119.648712,Unmodified,USGS
LS000230,34.480423,-119.648598,Unmodified,USGS
LS000231,34.479240,-119.646057,Unmodified,USGS
LS000232,34.480442,-119.641991,Unmodified,USGS
LS000233,34.480103,-119.641884,Unmodified,USGS
LS000234,34.479706,-119.641670,Unmodified,USGS
LS000235,34.480541,-119.641090,Unmodified,USGS
LS000236,34.479206,-119.639542,Unmodified,USGS
LS000237,34.478619,-119.637093,Unmodified,USGS
LS000238,34.478668,-119.635155,Unmodified,USGS
LS000239,34.477394,-119.629189,Unmodified,USGS
LS000240,34.477020,-119.627663,Unmodified,USGS
LS000241,34.476833,-119.628014,Unmodified,USGS
LS000242,34.476555,-119.627892,Unmodified,USGS
LS000243,34.476795,-119.625107,Unmodified,USGS
LS000244,34.480541,-119.624786,Unmodified,USGS
LS000245,34.480492,-119.624947,Unmodified,USGS
LS000246,34.479801,-119.624390,Unmodified,USGS
LS000247,34.476742,-119.623512,Unmodified,USGS
LS000248,34.476723,-119.624039,Unmodified,USGS
LS000249,34.476330,-119.625061,Unmodified,USGS
LS000250,34.476597,-119.624870,Unmodified,USGS
LS000251,34.476604,-119.624771,Unmodified,USGS
LS000252,34.479118,-119.622536,Unmodified,USGS
LS000253,34.475704,-119.623909,Unmodified,USGS
LS000254,34.475273,-119.623077,Unmodified,USGS
LS000255,34.475636,-119.622948,Unmodified,USGS
LS000256,34.475468,-119.623108,Unmodified,USGS
LS000257,34.474667,-119.623009,Unmodified,USGS
LS000258,34.474808,-119.623131,Unmodified,USGS
LS000259,34.474709,-119.622711,Unmodified,USGS
LS000260,34.475273,-119.625473,Unmodified,USGS
LS000261,34.477242,-119.621582,Unmodified,USGS
LS000262,34.478634,-119.618439,Unmodified,USGS
LS000263,34.477211,-119.621284,Unmodified,USGS
LS000264,34.476540,-119.617920,Unmodified,USGS
LS000265,34.476295,-119.617165,Unmodified,USGS
LS000266,34.476322,-119.617043,Unmodified,USGS
LS000267,34.478203,-119.617584,Unmodified,USGS
LS000268,34.478031,-119.614548,Unmodified,USGS
LS000269,34.475510,-119.617531,Unmodified,USGS
LS000270,34.474812,-119.612839,Unmodified,USGS
LS000271,34.475250,-119.612839,Unmodified,USGS
LS000272,34.474724,-119.615791,Unmodified,USGS
LS000273,34.474556,-119.615891,Unmodified,USGS
LS000274,34.475185,-119.616493,Unmodified,USGS
LS000275,34.475399,-119.619400,Unmodified,USGS
LS000276,34.475441,-119.618927,Unmodified,USGS
LS000277,34.476189,-119.621086,Unmodified,USGS
LS000278,34.475872,-119.629204,Modified,USGS
LS000279,34.477596,-119.634293,Unmodified,USGS
LS000280,34.477982,-119.634071,Unmodified,USGS
LS000281,34.477554,-119.639107,Unmodified,USGS
LS000282,34.478008,-119.638641,Unmodified,USGS
LS000283,34.478615,-119.638016,Modified,USGS
LS000284,34.478592,-119.637939,Modified,USGS
LS000285,34.478031,-119.637512,Modified,USGS
LS000286,34.477840,-119.637444,Modified,USGS
LS000287,34.477432,-119.637405,Modified,USGS
LS000288,34.477276,-119.645912,Unmodified,USGS
LS000289,34.473736,-119.617210,Unmodified,USGS
LS000290,34.473938,-119.618347,Unmodified,USGS
LS000291,34.473785,-119.629684,Unmodified,USGS
LS000292,34.472515,-119.647568,Unmodified,USGS
LS000293,34.472286,-119.646400,Unmodified,USGS
LS000294,34.472488,-119.645325,Unmodified,USGS
LS000295,34.472260,-119.644966,Unmodified,CAP
LS000296,34.470699,-119.645081,Unmodified,USGS
LS000297,34.471344,-119.645775,Unmodified,USGS
LS000298,34.471390,-119.633690,Unmodified,USGS
LS000299,34.471458,-119.616646,Unmodified,USGS
LS000300,34.470974,-119.617744,Unmodified,USGS
LS000301,34.470917,-119.617882,Unmodified,USGS
LS000302,34.468945,-119.617470,Unmodified,USGS
LS000303,34.467907,-119.621307,Unmodified,USGS
LS000304,34.467445,-119.625549,Unmodified,USGS
LS000305,34.467224,-119.626534,Unmodified,USGS
LS000306,34.466976,-119.627258,Unmodified,USGS
LS000307,34.467148,-119.626083,Unmodified,USGS
LS000308,34.466457,-119.623650,Unmodified,CAP
LS000309,34.467186,-119.626930,Unmodified,USGS
LS000310,34.465977,-119.628960,Unmodified,USGS
LS000311,34.466194,-119.629829,Unmodified,USGS
LS000312,34.466377,-119.629440,Unmodified,USGS
LS000313,34.466312,-119.628868,Unmodified,USGS
LS000314,34.465347,-119.631065,Unmodified,USGS
LS000315,34.465511,-119.630783,Unmodified,USGS
LS000316,34.465691,-119.631622,Unmodified,USGS
LS000317,34.464752,-119.630241,Unmodified,USGS
LS000318,34.464279,-119.629288,Unmodified,USGS
LS000319,34.464493,-119.627724,Unmodified,USGS
LS000320,34.465286,-119.628448,Unmodified,USGS
LS000321,34.464558,-119.634613,Unmodified,USGS
LS000322,34.465179,-119.635292,Unmodified,USGS
LS000323,34.465347,-119.635124,Unmodified,USGS
LS000324,34.465767,-119.635048,Unmodified,USGS
LS000325,34.465908,-119.635170,Unmodified,USGS
LS000326,34.467384,-119.635750,Unmodified,USGS
LS000327,34.466240,-119.636520,Unmodified,USGS
LS000328,34.465622,-119.636360,Unmodified,USGS
LS000329,34.465794,-119.635994,Unmodified,USGS
LS000330,34.468906,-119.635796,Unmodified,USGS
LS000331,34.469624,-119.637550,Unmodified,USGS
LS000332,34.469666,-119.638802,Unmodified,USGS
LS000333,34.468502,-119.637886,Unmodified,USGS
LS000334,34.466553,-119.638184,Unmodified,USGS
LS000335,34.468330,-119.638138,Unmodified,USGS
LS000336,34.468544,-119.640060,Unmodified,USGS
LS000337,34.467571,-119.640625,Unmodified,USGS
LS000338,34.467468,-119.647034,Unmodified,USGS
LS000339,34.467091,-119.646896,Unmodified,USGS
LS000340,34.466896,-119.646729,Unmodified,USGS
LS000341,34.466827,-119.646355,Unmodified,USGS
LS000342,34.467419,-119.645782,Unmodified,USGS
LS000343,34.467503,-119.645576,Unmodified,USGS
LS000344,34.467464,-119.645416,Unmodified,USGS
LS000345,34.464054,-119.646225,Unmodified,USGS
LS000346,34.464172,-119.645561,Unmodified,USGS
LS000347,34.463787,-119.644829,Unmodified,USGS
LS000348,34.463669,-119.644295,Modified,USGS
LS000349,34.463688,-119.643585,Unmodified,USGS
LS000350,34.465405,-119.639801,Unmodified,USGS
LS000351,34.465912,-119.639610,Unmodified,USGS
LS000352,34.466682,-119.639458,Unmodified,USGS
LS000353,34.467335,-119.639885,Unmodified,USGS
LS000354,34.463272,-119.636780,Unmodified,USGS
LS000355,34.463093,-119.637383,Unmodified,USGS
LS000356,34.463696,-119.637756,Unmodified,USGS
LS000357,34.463490,-119.633759,Unmodified,USGS
LS000358,34.463055,-119.633987,Unmodified,USGS
LS000359,34.463924,-119.626328,Unmodified,USGS
LS000360,34.465828,-119.619652,Unmodified,USGS
LS000361,34.465973,-119.620140,Unmodified,USGS
LS000362,34.465534,-119.619499,Unmodified,USGS
LS000363,34.465416,-119.619568,Unmodified,USGS
LS000364,34.465191,-119.617722,Unmodified,USGS
LS000365,34.465237,-119.618309,Unmodified,USGS
LS000366,34.465157,-119.619064,Unmodified,USGS
LS000367,34.465130,-119.619354,Unmodified,USGS
LS000368,34.464897,-119.619926,Unmodified,USGS
LS000369,34.464794,-119.620155,Unmodified,USGS
LS000370,34.464672,-119.620338,Unmodified,USGS
LS000371,34.464451,-119.620430,Unmodified,USGS
LS000372,34.464157,-119.618614,Unmodified,USGS
LS000373,34.462406,-119.621063,Unmodified,USGS
LS000374,34.462730,-119.620544,Unmodified,USGS
LS000375,34.462692,-119.620224,Unmodified,USGS
LS000376,34.462788,-119.620140,Unmodified,USGS
LS000377,34.463093,-119.618256,Unmodified,USGS
LS000378,34.463791,-119.617279,Unmodified,USGS
LS000379,34.464413,-119.617348,Unmodified,USGS
LS000380,34.464001,-119.615875,Unmodified,USGS
LS000381,34.464005,-119.615349,Unmodified,USGS
LS000382,34.463810,-119.619034,Unmodified,USGS
LS000383,34.465019,-119.613586,Unmodified,USGS
LS000384,34.464165,-119.613266,Unmodified,USGS
LS000385,34.464108,-119.613167,Unmodified,USGS
LS000386,34.463528,-119.612869,Unmodified,USGS
LS000387,34.462963,-119.612579,Unmodified,USGS
LS000388,34.464737,-119.612381,Unmodified,USGS
LS000389,34.464745,-119.612167,Unmodified,USGS
LS000390,34.461136,-119.613129,Unmodified,USGS
LS000391,34.462631,-119.615608,Unmodified,USGS
LS000392,34.461376,-119.613426,Unmodified,USGS
LS000393,34.462124,-119.616707,Unmodified,USGS
LS000394,34.461308,-119.617607,Unmodified,USGS
LS000395,34.460415,-119.617638,Unmodified,USGS
LS000396,34.460606,-119.617592,Unmodified,USGS
LS000397,34.460464,-119.618713,Unmodified,USGS
LS000398,34.459846,-119.619522,Unmodified,USGS
LS000399,34.459648,-119.619621,Unmodified,USGS
LS000400,34.461472,-119.620499,Unmodified,USGS
LS000401,34.461540,-119.620277,Unmodified,USGS
LS000402,34.461109,-119.622795,Unmodified,USGS
LS000403,34.461571,-119.620926,Unmodified,USGS
LS000404,34.461670,-119.621048,Unmodified,USGS
LS000405,34.462166,-119.628609,Unmodified,CAP
LS000406,34.462162,-119.628891,Unmodified,USGS
LS000407,34.462070,-119.630814,Unmodified,USGS
LS000408,34.462337,-119.632385,Unmodified,USGS
LS000409,34.461788,-119.633026,Unmodified,USGS
LS000410,34.459393,-119.634407,Unmodified,USGS
LS000411,34.461834,-119.633392,Unmodified,USGS
LS000412,34.461903,-119.633606,Unmodified,USGS
LS000413,34.461090,-119.633438,Unmodified,USGS
LS000414,34.460655,-119.633995,Unmodified,USGS
