slope,curvature,twi,lithology,landcover,fault_distance,rainfall,fire_history,label,x,y
0.45676249265670776,0.5288285613059998,0.09069284796714783,0.75,0.5,0.25,0.7010241150856018,0.0,0,241016.96232163132,3840819.06727445
0.014877467416226864,0.5279126763343811,0.19990606606006622,0.75,0.5,0.25,0.20587974786758423,0.0,0,180694.8757620506,3864939.9016215503
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.21654574573040009,0.0,0,240776.9540196701,3773046.723008157
0.39089804887771606,0.5296148657798767,0.10154823213815689,0.75,0.0,0.0,0.5927392244338989,0.0,0,247307.17990219768,3821058.3837463115
0.21234171092510223,0.5273972749710083,0.13305258750915527,0.75,0.5,0.0,0.2096996307373047,0.0,0,186705.08365699556,3841849.1029037
0.36925041675567627,0.5326526165008545,0.08931711316108704,0.75,0.5,0.0,0.5893349647521973,0.0,0,269917.96201612544,3842079.110859746
0.3458711802959442,0.5254523158073425,0.1015290915966034,0.75,0.5,0.0,0.5948405265808105,0.0,0,237956.85647162606,3848339.3274025675
0.09480079263448715,0.52549147605896,0.1444426029920578,0.75,0.5,1.0,0.37055647373199463,0.0,0,220876.2656487209,3848529.3339749533
2.281461547681829e-06,0.5280503630638123,0.41889479756355286,0.5,0.5,0.25,0.20595623552799225,0.0,0,166994.40185843228,3837658.9579652944
0.2959362268447876,0.5419005155563354,0.10009122639894485,0.75,0.5,0.0,0.7127341032028198,1.0,0,274088.1062627012,3821388.395161508
0.027668869122862816,0.528079092502594,0.18203353881835938,0.75,0.5,0.0,0.36574211716651917,0.0,0,174874.67443949156,3832938.794693391
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.25,0.29169294238090515,0.0,0,239236.90074875244,3809667.98974907
0.08088021725416183,0.528732180595398,0.15724647045135498,0.75,0.5,0.25,0.1994628608226776,0.0,0,188075.13104735737,3867950.0057419804
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.19294370710849762,0.0,0,168244.44509781353,3861859.795079715
0.5063090324401855,0.5234149098396301,0.09563454985618591,0.75,0.5,0.0,0.37740832567214966,0.0,0,236536.807351689,3858639.683695069
0.010528907179832458,0.5283704996109009,0.20873066782951355,0.75,0.5,0.0,0.19759419560432434,0.0,0,181544.90516482983,3842809.136111545
0.4321286976337433,0.5229016542434692,0.0891890749335289,0.75,0.5,0.25,0.6403685212135315,1.0,0,274908.1346277353,3817878.273745326
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.20165719091892242,0.0,0,254117.41547034663,3769586.60332155
0.3012486696243286,0.544933557510376,0.10453751683235168,0.75,0.5,0.0,0.6981449127197266,0.0,0,267877.8914494553,3828958.6570192007
0.3442436456680298,0.5300769209861755,0.10864264518022537,0.75,0.5,0.0,0.3602571189403534,0.0,0,218926.19819528618,3884350.573042662
0.3084675669670105,0.5202261209487915,0.11977796256542206,0.75,0.5,0.0,0.25725865364074707,0.0,0,211295.93426210314,3860669.753915824
